cluster,procedure,keyword,intent_tier,match_type,searches_low,searches_high,cpc_low,cpc_high,competition,priority,source_id,confidence,notes
acl,ACL reconstruction,ACL surgery,2,phrase,160,490,5,12,medium,1,B14;B59;B60,low,Procedure head term; ACL has the highest relative interest among knee ligament terms (B14). National modeled 15000 to 35000.
acl,ACL reconstruction,torn ACL surgery,2,phrase,16,56,5,12,medium,2,B59;B60,low,National modeled 1500 to 4000.
acl,ACL reconstruction,ACL repair,2,phrase,33,110,5,12,medium,2,B59;B60,low,Patients say repair for reconstruction; keep. National modeled 3000 to 8000.
acl,ACL reconstruction,ACL tear,3,exact,440,1300,2,6,medium,3,B14;B59;B60,low,Condition head term; heavy research and sports-news noise. National modeled 40000 to 90000.
acl,ACL reconstruction,torn ACL,3,exact,220,700,2,6,medium,3,B14;B59;B60,low,Condition head term; test only. National modeled 20000 to 50000.
acl,ACL reconstruction,ACL tear treatment,3,exact,16,56,3,8,medium,2,B59;B60,low,Treatment-seeking; better than the bare condition term. National modeled 1500 to 4000.
meniscus,meniscus repair,meniscus surgeon near me,1,phrase and exact,2,8,6,16,medium,1,B59;B60,low,Main surgeon-seeking term. National modeled 200 to 600.
meniscus,meniscus repair,meniscus repair surgeon,1,phrase and exact,1,3,6,15,medium,1,B59;B60,low,RFP procedure plus surgeon. National modeled 50 to 200.
meniscus,meniscus repair,torn meniscus doctor,1,phrase,1,6,6,15,medium,1,B59;B60,low,National modeled 100 to 400.
meniscus,meniscus repair,knee arthroscopy surgeon near me,1,phrase,1,6,6,16,medium,2,B59;B60,low,Procedure-led surgeon search. National modeled 100 to 400.
meniscus,meniscus repair,meniscus repair,2,phrase and exact,33,110,4,11,medium,1,B59;B60,low,RFP procedure. National modeled 3000 to 8000.
meniscus,meniscus repair,meniscus surgery,2,phrase,88,280,5,12,medium,1,B59;B60,low,Procedure head term. National modeled 8000 to 20000.
meniscus,meniscus repair,torn meniscus surgery,2,phrase,33,110,5,12,medium,1,B59;B60,low,National modeled 3000 to 8000.
meniscus,meniscus repair,meniscus tear treatment,2,phrase,33,110,3,9,medium,2,B59;B60,low,Treatment-seeking; includes non-surgical. National modeled 3000 to 8000.
meniscus,meniscus repair,knee arthroscopy,2,phrase,55,170,4,11,medium,2,B59;B60,low,Procedure term shared with other knee scopes. National modeled 5000 to 12000.
meniscus,meniscus repair,torn meniscus,3,exact,660,2000,2,6,medium,3,B59;B60,low,Largest condition term in the file; research-heavy; test with tight cap. National modeled 60000 to 140000.
meniscus,meniscus repair,meniscus tear,3,exact,440,1300,2,6,medium,3,B59;B60,low,Condition head term; test only. National modeled 40000 to 90000.
rotator_cuff,rotator cuff repair,rotator cuff repair surgeon,1,phrase and exact,1,3,6,16,medium,1,B59;B60,low,RFP seed. National modeled 50 to 200.
rotator_cuff,rotator cuff repair,rotator cuff surgeon near me,1,phrase and exact,3,14,7,18,medium,1,B59;B60,low,Main surgeon-seeking term. National modeled 300 to 1000.
rotator_cuff,rotator cuff repair,shoulder surgeon near me,1,phrase,22,70,7,18,high,1,B7;B57;B60,low,"Broader shoulder intent (replacement, instability); route by ad copy. National modeled 2000 to 5000."
rotator_cuff,rotator cuff repair,rotator cuff specialist,1,phrase,2,8,6,15,medium,2,B59;B60,low,National modeled 200 to 600.
rotator_cuff,rotator cuff repair,shoulder surgeon Minneapolis,1,phrase,5,30,6,15,medium,1,B58;B60,low,Geo-modified; whole volume is local and counted as-is in every geography. Modeled 5 to 30 per month (B58).
rotator_cuff,rotator cuff repair,rotator cuff surgery,2,phrase and exact,160,490,5,12,medium,1,B13;B59;B60,low,Procedure head term; interest rising 2010 to 2024 (B13). National modeled 15000 to 35000.
rotator_cuff,rotator cuff repair,rotator cuff repair,2,phrase and exact,55,170,5,12,medium,1,B59;B60,low,RFP procedure. National modeled 5000 to 12000.
rotator_cuff,rotator cuff repair,arthroscopic rotator cuff repair,2,phrase,9,35,5,12,medium,2,B59;B60,low,National modeled 800 to 2500.
rotator_cuff,rotator cuff repair,torn rotator cuff surgery,2,phrase,16,56,5,12,medium,2,B59;B60,low,National modeled 1500 to 4000.
rotator_cuff,rotator cuff repair,rotator cuff tear,3,exact,330,980,2,6,medium,3,B59;B60,low,Condition head term; test only. National modeled 30000 to 70000.
rotator_cuff,rotator cuff repair,torn rotator cuff,3,exact,220,700,2,6,medium,3,B59;B60,low,Condition head term; test only. National modeled 20000 to 50000.
rotator_cuff,rotator cuff repair,rotator cuff tear treatment,3,exact,22,70,3,8,medium,2,B59;B60,low,Treatment-seeking. National modeled 2000 to 5000.
rotator_cuff,rotator cuff repair,rotator cuff surgery recovery,3,exact,55,170,2,5,low,3,B13;B59;B60,low,Judgment call: recovery is the most searched rotator cuff topic (B13) but mostly post-op; negative in Tier 1 and 2. Listed to size it. National modeled 5000 to 12000.
